         398365 function calls (398313 primitive calls) in 1.398 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    0.006    0.006 {built-in method _socket.getaddrinfo}
    16262    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
      536    0.001    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      976    0.002    0.000    0.005    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/filter.py:616(_attribute_match)
     3218    0.003    0.000    0.005    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:732(string_container)
     9557    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     3207    0.003    0.000    0.004    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:809(pushTag)
     2519    0.003    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/__init__.py:91(_replace_charref)
    20882    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     9488    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    17059    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     3206    0.003    0.000    0.003    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:786(popTag)
    16964    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    17077    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
22664/22660    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3115    0.001    0.000    0.003    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
     7001    0.002    0.000    0.003    0.000 {built-in method builtins.next}
     1795    0.001    0.000    0.003    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/filter.py:627(_match_attribute_value_helper)
     1815    0.002    0.000    0.003    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:906(_linkage_fixer)
     3238    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x103573cf0}
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/encodings/__init__.py:71(search_function)
     7311    0.002    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:426(inner)
        2    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.002    0.002 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:377(prepare_markup)
        1    0.000    0.000    0.002    0.002 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/dammit.py:775(__init__)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
      3/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1020(exec_module)
        1    0.000    0.000    0.002    0.002 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/dammit.py:930(_convert_from)
     2540    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.002    0.002    0.002    0.002 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/dammit.py:969(_to_unicode)
      128    0.000    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:165(parse_comment)
    59/57    0.000    0.000    0.002    0.000 {method 'encode' of 'str' objects}
     3244    0.001    0.000    0.002    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:1065(handle_data)
     9843    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     3410    0.001    0.000    0.002    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/filter.py:292(matches_string)
