         417633 function calls (394470 primitive calls) in 0.289 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      261    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      611    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      287    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      257    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      140    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      178    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       21    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      289    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       90    0.000    0.000    0.001    0.000 enum.py:1594(__or__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      714    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      329    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
       55    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      906    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       18    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      906    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      172    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      206    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       74    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      163    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      343    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        1    0.000    0.000    0.068    0.068 dammit.py:1(<module>)
      281    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      926    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      327    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      435    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      257    0.000    0.000    0.000    0.000 enum.py:1154(__new__)
      225    0.000    0.000    0.126    0.001 __init__.py:287(compile)
      209    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      409    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      258    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       34    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      326    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       44    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      287    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      176    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    44/32    0.000    0.000    0.011    0.000 css_parser.py:579(parse_pseudo_class)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      410    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       55    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      163    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      418    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
    58/37    0.000    0.000    0.120    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      298    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:806(Optional)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      178    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        8    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        1    0.000    0.000    0.064    0.064 css_parser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      140    0.000    0.000    0.007    0.000 _parser.py:97(closegroup)
      251    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      271    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.023    0.012 connection.py:1(<module>)
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
      411    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       82    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
    40/31    0.000    0.000    0.011    0.000 css_parser.py:746(parse_pseudo_open)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       63    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      294    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
      173    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.012    0.012 ssl.py:1(<module>)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      209    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      353    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        1    0.000    0.000    0.145    0.145 element.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       10    0.000    0.000    0.000    0.000 enum.py:985(_find_data_type_)
       18    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
      209    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.029    0.029 ssl_.py:1(<module>)
       48    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      163    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
       92    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
      195    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       41    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      226    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:1457(_missing_)
       14    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
       39    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      196    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
    77/55    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
       95    0.000    0.000    0.000    0.000 enum.py:199(__get__)
  121/103    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        2    0.000    0.000    0.008    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.034    0.034 connectionpool.py:1(<module>)
       45    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      105    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
      177    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        1    0.000    0.000    0.032    0.032 client.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:1057(_add_member_)
      116    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       74    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
        2    0.000    0.000    0.024    0.012 response.py:1(<module>)
    18/10    0.000    0.000    0.162    0.016 {built-in method builtins.__import__}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
      127    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
    23/21    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
        4    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       56    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        2    0.000    0.000    0.045    0.022 exceptions.py:1(<module>)
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
       38    0.000    0.000    0.000    0.000 enum.py:762(__delattr__)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       53    0.000    0.000    0.000    0.000 __init__.py:305(escape)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_function)
       41    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      129    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
    29/28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.009    0.009 hashlib.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2383(_IPv6Constants)
       16    0.000    0.000    0.015    0.001 css_parser.py:1149(process_selectors)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       12    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.004    0.004 retry.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1577(Tag)
        5    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.001    0.001 request.py:1(<module>)
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
       23    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
      250    0.000    0.000    0.000    0.000 enum.py:1215(__init__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
       16    0.000    0.000    0.032    0.002 css_parser.py:306(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
        5    0.000    0.000    0.000    0.000 enum.py:1012(_find_new_)
        1    0.000    0.000    0.000    0.000 mimetypes.py:426(_default_mime_types)
        2    0.000    0.000    0.018    0.009 parser.py:1(<module>)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.007    0.007 cd.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:930(__init__)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        4    0.000    0.000    0.000    0.000 functools.py:878(register)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.034    0.034 css_parser.py:428(CSSParser)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10120aca0}
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        1    0.000    0.000    0.069    0.069 formatter.py:1(<module>)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
        1    0.000    0.000    0.040    0.040 _base_connection.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2403(get_type_hints)
        1    0.000    0.000    0.007    0.007 api.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:2128(getLogger)
        7    0.000    0.000    0.000    0.000 __init__.py:1409(_fixupParents)
