         417585 function calls (394430 primitive calls) in 0.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       12    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       16    0.000    0.000    0.014    0.001 css_parser.py:1149(process_selectors)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      178    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      129    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
       38    0.000    0.000    0.000    0.000 enum.py:762(__delattr__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       10    0.000    0.000    0.000    0.000 enum.py:985(_find_data_type_)
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       56    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
        8    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    29/28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       41    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2375(_signature_from_function)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        5    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      250    0.000    0.000    0.000    0.000 enum.py:1215(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.008    0.008 hashlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
        1    0.000    0.000    0.029    0.029 _request_methods.py:1(<module>)
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 element.py:1577(Tag)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10132aca0}
       16    0.000    0.000    0.033    0.002 css_parser.py:306(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
        7    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
        7    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
