         449974 function calls (425687 primitive calls) in 0.343 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      191    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
       66    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      755    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      280    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      221    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
      650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      299    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       63    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
      102    0.000    0.000    0.001    0.000 enum.py:1594(__or__)
       27    0.000    0.000    0.002    0.000 enum.py:251(__set_name__)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
     1130    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      279    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       22    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      215    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
     1130    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      257    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      123    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      748    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      296    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
  168/165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.060    0.060 dammit.py:1(<module>)
      299    0.000    0.000    0.000    0.000 enum.py:1154(__new__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      398    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      122    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      542    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      358    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       56    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      523    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      344    0.000    0.000    0.004    0.000 {built-in method builtins.next}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      487    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      384    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      256    0.000    0.000    0.132    0.001 __init__.py:287(compile)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       45    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      316    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      214    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:1457(_missing_)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
    78/44    0.000    0.000    0.165    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      219    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      383    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      522    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.015    0.005 utils.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
    44/32    0.000    0.000    0.011    0.000 css_parser.py:579(parse_pseudo_class)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       57    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      531    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      182    0.000    0.000    0.007    0.000 _parser.py:97(closegroup)
      348    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       33    0.000    0.000    0.000    0.000 enum.py:1057(_add_member_)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.062    0.062 css_parser.py:1(<module>)
       89    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
      182    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      365    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      262    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      216    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
      280    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      340    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        1    0.000    0.000    0.014    0.014 ssl.py:1(<module>)
       63    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
      261    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       51    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       18    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
