,Biotin,"Calcium, Ca","Carbohydrate, by difference","Chloride, Cl",Cholesterol,"Choline, total","Chromium, Cr","Copper, Cu","Fatty acids, total saturated","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn",Molybdenum,Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na","Sugars, added",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid","Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
36,0.0,0.0277,0.2323,0.0,2.4234,1.0033,0.0,1.0721,0.5025,0.2535,0.45249999999999996,0.0,0.4811000000000001,0.181,0.2343,0.0,0.8149,0.0126,0.36480000000000007,0.0877,0.7532,2.6822999999999992,3.3564,0.4757,0.0,0.42,0.45740000000000003,0.0111,10.2917,0.4288,0.3333,0.0,0.23929999999999998,0.2933,0.391
37,0.0,0.6138999999999999,0.3982,0.0,2.4234,0.9955,0.0,1.0677,0.5035,0.3963,0.5924999999999999,0.0,0.6050000000000001,0.15960000000000002,0.2343,0.0,0.8210999999999999,0.0126,0.35040000000000004,0.19489999999999996,0.8194000000000001,2.6999999999999993,3.3546,0.5007999999999999,0.0,0.4533,0.45980000000000004,0.0111,10.2917,0.39940000000000003,1.5122,0.0,0.23929999999999998,0.29,0.4228
38,0.0,0.0123,0.0788,0.0,0.0933,0.07780000000000001,0.0,0.06559999999999999,0.1867,0.0536,0.06,0.0,0.0467,0.059500000000000004,0.0791,0.0,0.096,0.054400000000000004,0.1528,0.0394,0.2202,0.0892,0.28550000000000003,0.1748,0.0,0.1017,0.20809999999999998,0.0044,0.4,0.045899999999999996,0.0,0.0012,0.4587,0.0392,0.0382
39,0.0,0.0393,0.3553,0.0,2.4234,0.9955,0.0,1.0677,0.5035,0.4392,0.5924999999999999,0.0,0.5022000000000001,0.1572,0.2343,0.0,0.8210999999999999,0.0126,0.35040000000000004,0.11939999999999999,0.8438000000000001,2.6999999999999993,3.3546,0.6325999999999999,0.0,0.4533,0.45980000000000004,0.0111,10.2917,0.39940000000000003,0.5077,0.0,0.23929999999999998,0.29,0.3801
40,0.0,0.0693,0.7659,0.0,3.3367,1.3028,0.0,1.1966,2.7755,0.4107,0.5399999999999999,0.0,0.7066000000000001,0.2048,0.2343,0.0,0.8162999999999999,0.0126,0.46640000000000004,0.13429999999999997,1.0702,2.8761999999999994,3.711,0.8056,0.848,0.4966,1.4092,0.1333,10.5,0.4359,0.7589,0.0,0.2953,0.29669999999999996,0.49369999999999997
41,0.0,0.1131,0.40080000000000005,0.0,0.2867,0.1405,0.0,0.1134,0.2687,0.3,0.56,0.0,0.5056,0.0905,0.0791,0.0,0.5339,0.054400000000000004,0.20959999999999998,0.069,1.1148,0.3892,0.4273,0.36920000000000003,0.0,0.9666999999999999,0.3477,0.010000000000000002,0.5667,0.1224,0.32659999999999995,0.0012,0.5186999999999999,0.12669999999999998,0.16460000000000002
42,0.0,0.060700000000000004,0.3135,0.0,0.0067,0.0195,0.0,0.0534,0.092,0.275,0.1225,0.0,0.1856,0.0381,0.0,0.0,0.0174,0.0,0.030399999999999996,0.0661,0.156,0.0461,0.0072,0.3386,0.0,0.0441,0.06620000000000001,0.0189,0.0,0.0335,0.3544,0.0,0.0347,0.0558,0.07089999999999999
43,0.0,0.12010000000000001,0.309,0.0,0.6267,0.3147,0.0,1.3699000000000001,0.5975,0.3642,0.5625,0.0,0.2895,0.2477,0.2343,0.0,0.8119,0.0126,0.3575999999999999,0.19489999999999996,0.6681999999999999,0.6123,1.2127000000000001,0.576,0.0,0.42919999999999997,0.5551,0.0833,1.5042,0.3177,0.6656,0.0,0.4607,0.35919999999999996,0.5528
44,0.0,0.0277,0.5199,0.0,0.17670000000000002,0.024399999999999998,0.0,0.3022,0.2078,0.3,0.1375,0.0,0.3034,0.061900000000000004,0.2343,0.0,0.2675,0.0646,0.025600000000000005,0.06019999999999999,0.45180000000000003,0.2839,0.029099999999999997,0.21050000000000002,0.0,0.0508,0.0872,0.3478,0.0,0.1641,0.431,0.0,0.0347,0.20420000000000002,0.0518
45,0.0,0.36319999999999997,0.5413,0.0,0.0,0.0113,0.0,0.0467,0.0007000000000000001,1.2821,0.0475,0.0,1.8084,0.0262,0.01,0.0,0.3105,0.039,0.013600000000000001,0.0388,0.2324,0.2854,0.0018,0.1922,0.0,0.8715999999999999,0.0115,0.0022,0.0,0.0447,0.8844,0.0,0.013300000000000001,0.0,0.0064
46,0.0,0.0905,0.6527000000000001,0.0,0.2367,0.23710000000000003,0.0,0.8653000000000001,0.5225,0.6513,0.498,0.0,0.6658999999999999,0.2952,0.2777,0.0,1.3165,0.0126,0.42700000000000005,0.28509999999999996,1.0237,0.9783,1.0727000000000002,1.3909,0.0,1.6167,0.5403,0.025500000000000002,0.16670000000000001,0.6258,1.7634999999999998,0.0,0.3094,0.30419999999999997,0.4078
47,0.0,0.6338,0.6880000000000001,0.0,2.9566999999999997,0.9955,0.0,1.1899,2.6630000000000003,0.6355999999999999,0.48249999999999993,0.0,0.6506000000000001,0.19290000000000002,0.2343,0.0,0.9592999999999999,0.0686,0.4376,0.11059999999999999,2.0442,2.7553999999999994,3.3546,1.4251999999999998,0.0,0.4575,1.9294,0.0111,10.887500000000001,0.49940000000000007,0.49670000000000003,0.04,0.23929999999999998,0.29,0.6073
48,0.0,0.6093000000000001,0.30519999999999997,0.0,1.3466,0.3138,0.0,0.14,0.9970000000000001,0.09290000000000001,0.09999999999999999,0.0,0.11270000000000001,0.0643,0.0,0.0,0.017,0.0,0.14079999999999998,0.0646,0.9877999999999999,0.2439,0.3855,0.8339,0.0,0.0975,1.1018,0.1333,0.3166,0.0424,0.9467,0.0087,0.3627,0.8125,0.1363
49,0.0,0.025500000000000002,1.0177999999999998,0.0,0.4434,0.1851,0.0,1.2898999999999998,0.617,0.2535,0.26,0.0,0.4734,0.1905,0.2343,0.0,1.0381,0.0126,0.3736,0.09839999999999999,0.783,0.6700999999999999,0.6818,0.567,0.198,0.5158,0.5650000000000001,0.0422,0.17079999999999998,0.5053,0.4344,0.0,0.238,0.3233,0.47009999999999996
50,0.0,0.4392999999999999,0.28959999999999997,0.0,0.4134,0.07,0.0,0.4455,1.5465000000000002,0.2856,0.245,0.0,0.2328,0.131,0.2343,0.0,0.565,0.0126,0.1088,0.1179,0.658,0.40159999999999996,0.31820000000000004,0.9587000000000001,0.0,0.2833,0.7982,0.0111,0.0,0.1712,0.44889999999999997,0.0,0.23399999999999999,0.29,0.1664
51,0.0,0.1139,0.4041,0.0,0.17,0.0,0.0,0.0789,0.1426,0.39289999999999997,0.0,0.0,0.1122,0.07139999999999999,0.113,0.0,0.49310000000000004,0.313,0.244,0.0717,0.7064,0.1362,0.3073,0.7513000000000001,0.0,0.0833,0.2872,0.0111,0.0625,0.2847,0.16670000000000001,0.0,0.08529999999999999,0.20920000000000002,0.0645
52,0.0,0.6961999999999999,0.6509999999999999,0.0,0.3467,0.212,0.0,1.3822,1.1973,1.1142999999999998,0.63,0.0,1.6021999999999998,0.6167000000000001,7.123,0.0,0.8289,0.0646,0.2864,0.29679999999999995,1.2138,0.6300999999999999,0.5163,0.9985999999999999,0.0,0.4917,1.0497000000000003,0.3789,0.0,0.5211,0.8588,0.0,0.8194,0.9067000000000001,0.45280000000000004
53,0.0,0.0292,0.34829999999999994,0.0,0.4434,0.07,0.0,0.2211,1.3685,0.4571,0.2075,0.0,0.2889,0.1167,0.0,0.0,0.34619999999999995,0.0,0.1056,0.043,0.966,0.17079999999999998,0.3018,0.8195,0.0,0.2833,1.1339,0.0,0.0,0.0659,0.0256,0.0,0.23399999999999999,0.29,0.0955
54,0.0,0.11699999999999999,0.5839,0.0,0.1867,0.0,0.0,0.0,2.9379999999999997,0.2429,0.0,0.0,0.1661,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2702,0.0,0.0,0.37429999999999997,0.848,0.0,1.1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.2409,0.7548999999999999,0.0,0.5101,0.08750000000000001,0.0,0.9455,1.1932,0.7321,0.3425,0.0,0.5251,0.8263,2.1039000000000003,0.0,0.6285999999999999,0.1546,0.5256000000000001,0.2181,1.5094,0.5854,0.8601,1.4621,1.2,0.8033,0.8204,0.2,0.0,0.31529999999999997,1.1889,0.0,0.3587,2.49,0.4682
56,0.0,0.6299999999999999,0.1789,0.0,1.1234000000000002,0.2005,0.0,0.2244,2.7215999999999996,0.24999999999999997,0.060000000000000005,0.0,0.6172,0.1714,0.0,0.0,0.3682,0.0,0.2,0.1483,2.1554,0.2562,0.9437,1.4682000000000002,0.0,0.24,1.4364000000000001,0.0522,0.6667000000000001,0.27649999999999997,0.02,0.0,0.062,0.1517,0.1637
57,0.0,0.1046,0.4363,0.0,2.5934,0.9955,0.0,2.3344,0.6760999999999999,0.5570999999999999,0.5725,0.0,0.6327,0.3476,0.4047,0.0,1.6324,0.4888,0.6936,0.3748,1.2593999999999999,2.9377999999999993,3.6619,0.8169,0.0,0.7408,0.6940000000000001,0.035500000000000004,10.3542,0.8594,0.4011,0.0,0.3246,0.4992,0.5201
58,0.0,0.0062,0.41929999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.09519999999999999,0.0,0.0,0.1726,0.0,0.0,0.0,0.0,0.0,0.0,0.2834,0.0,0.0,0.0,0.0
59,0.0,0.09459999999999999,0.3682,0.0,0.0,0.061700000000000005,0.0,0.6956,0.3538,0.2572,0.2,0.0,0.3289,0.2595,0.0,0.0,0.1555,0.052000000000000005,0.15599999999999997,0.0955,0.15660000000000002,0.1492,0.2018,0.5839,1.286,0.2492,0.5795,0.3601,0.0,0.18170000000000003,0.1466,0.0,0.492,0.45920000000000005,0.1581
60,0.0,0.11230000000000001,0.1576,0.0,0.2267,0.0,0.0,2.4644,0.9844999999999999,0.1466,0.0,0.0,0.33270000000000005,0.5967,0.8473999999999999,0.0,0.0,0.0,0.42579999999999996,0.1358,0.838,0.0,0.37579999999999997,0.2825,0.0,0.0,0.8569,0.0,0.0,0.0,0.005600000000000001,0.0525,0.0,0.0,0.461
61,0.0,0.7677999999999999,0.6512,0.0,0.4767,0.2745,0.0,0.7987,1.5413999999999999,1.4142000000000001,0.635,0.0,0.6166,0.4644,0.6222000000000001,0.0,1.1538,0.2938,0.7807999999999999,0.6092,1.0848,1.7208,1.0473,1.6243,0.096,0.4817,1.3884999999999998,2.12,0.6916,0.7377,1.0633,0.0263,0.7966,2.6275,0.6872
62,0.0,0.4792999999999999,0.32339999999999997,0.0,0.6434,0.07,0.0,0.4455,2.0205,0.39990000000000003,0.38749999999999996,0.0,0.2017,0.1286,0.2343,0.0,0.578,0.0126,0.1088,0.1273,1.0218,0.43079999999999996,0.31820000000000004,1.2509000000000001,0.096,0.3208,1.0527,0.0111,0.0,0.1712,0.5077,0.0087,0.23399999999999999,0.29,0.1237
63,0.0,1.2792999999999999,1.2684,0.0,0.09670000000000001,0.1622,0.0,1.4889000000000001,5.5821000000000005,1.9999999999999998,0.135,0.0,2.2095000000000002,1.5429000000000002,33.0309,0.0,0.3038,0.1018,0.27599999999999997,0.7807999999999999,0.5207999999999999,0.4269,0.6599999999999999,0.38339999999999996,0.848,0.3151,1.9584000000000001,0.0633,0.0917,0.8823,0.2733,0.0,0.7332999999999998,1.4192,0.4919
